node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
CCL26,cytokine,4,,,0.03800859715610287,0.009926014004689787,0.0004593868990756053,4,3
CEBPB,protein,3,,,0.0652748996255253,0.010340755830201767,0.0007142088063380098,3,3
POLR2F,protein,1,,,0.0,1.2590652699435938e-05,0.001834862385321101,1,13
STAT5B,protein,4,,,0.0,0.009297569622837502,0.0011806835760726866,4,3
TCF4,protein,2,,,0.007009781352688404,0.010109608009836043,0.0007021756725879894,2,0
CREB3,protein,1,,,0.0,0.009537657104784086,0.0003027795272992907,1,3
DEFB4A,protein,2,,,0.006946701332466688,0.009550548607854276,0.0005050255001943784,1,3
TLR2,receptor,48,,,0.3097259287267818,0.010656509275914253,0.012248177332119123,4,0
YWHAQ,protein,1,,,0.0,0.01030905114673108,0.0004146485166018091,1,0
CCT5,protein,1,,,0.0,0.0045885814467713825,0.001096675814095531,1,1
CD14,receptor,22,,,0.07787053587549177,0.010254195008672714,0.007397993237791353,4,0
LBP,protein,1,,,0.0,0.010037179476311461,0.00036506787249325473,1,0
LTF,protein,1,,,0.0,0.00993208026161899,0.00040998712984079947,1,0
LYN,protein,4,,,0.0066587224208283675,0.010252901158360382,0.0013549673924565402,3,0
TLR3,receptor,20,,,0.1120542646156069,0.01031537652086901,0.01650015234900115,4,4
CXCR4,receptor,39,,,0.17826947446503805,0.01052969538858695,0.01980128221055291,4,2
CD180,receptor,1,,,0.0,0.009784578066194769,0.00044440860358849047,1,4
CD19,receptor,2,,,0.0,0.009907255611191662,0.000711312781923216,2,0
LGALS1,protein,4,,,0.006953471996533419,0.009583966422565959,0.0021957654939312524,2,1
CD200,receptor,3,,,0.01451122576102264,0.010091820825119599,0.0004896581151719242,3,2
CD22,receptor,8,,,0.010504008233127506,0.009897802506848694,0.002881128635486985,3,0
SH2D1A,protein,5,,,0.010420051998700032,0.009788506984467413,0.004154507686636529,2,0
NCR1,protein,1,,,0.0,0.009307154014247726,0.0008581585573375102,1,2
SYK,protein,4,,,0.0279068717726502,0.010050628870567378,0.0016770507775118876,3,0
ZAP70,protein,3,,,0.0037164175062290115,0.009839871556517981,0.0016624403853133466,2,2
CD248,receptor,1,,,0.0,0.0009191176470588235,0.001834862385321101,1,16
CD274,receptor,1,,,0.0,0.0003676470588235294,0.001834862385321101,1,21
CRKL,protein,1,,,0.0,0.008008836912450768,0.0011794335014709838,1,0
LEP,protein,1,,,0.0,0.009835901304921582,0.00038373385503890343,1,0
MUC2,protein,1,,,0.0,0.010044210051140357,0.000311397523545078,1,0
PTPN11,protein,1,,,0.0,0.008008836912450768,0.0011794335014709838,1,0
CD36,receptor,9,,,0.019675549777922186,0.01007014263931329,0.004237687116842001,3,0
WNT1,protein,1,,,0.0,0.009373540381872856,0.0006885888644977364,1,0
CLEC7A,protein,3,,,0.0104132813346333,0.010203334991154864,0.0008371296082982952,1,0
CD38,receptor,1,,,0.0,0.010256783689198318,0.00030620470290496023,1,3
CD4,receptor,4,,,0.016139006247066042,0.010419652409274283,0.0011694475228583258,2,1
PIP,protein,1,,,0.0,0.010195653524380538,0.00039947277367686075,1,1
HSPA8,protein,4,,,0.07526549202491681,0.010524467477222944,0.0013917460998742995,4,1
IL4R,receptor,14,,,0.1352665997338161,0.010507908872846954,0.004762643829139694,4,3
JAK3,protein,6,,,0.14814492896380696,0.010472022593430696,0.0018656756904108312,4,1
KPNA1,protein,1,,,0.0,0.01007388796583162,0.00035316232020725385,1,0
