node,type,degree,in_degree,out_degree,betweenness,closeness,pagerank,kcore,community
MSN,protein,1,,,0.0,0.007031784829708767,0.0004759522838664099,1,0
ELF4,protein,2,,,0.0,0.006022343391697528,0.001507617590857673,2,0
EMG1,protein,1,,,0.0,0.00668595216984013,0.0007618570278700391,1,0
TRIP6,protein,1,,,0.0,0.006560431453491601,0.0008248474981396542,1,0
USHBP1,protein,1,,,0.0,0.00031033994917309876,0.0055131577099214926,1,3
VCAM1,protein,2,,,0.0,0.006545637095453781,0.0007284152139709841,2,0
FBXW11,protein,1,,,0.0,0.005957973798702333,0.001837134794089189,1,1
GABPB1,protein,1,,,0.0,0.005950711063524851,0.00046048305037470097,1,3
FOSL1,protein,1,,,0.0,0.006793660497889847,0.00045330498633790395,1,7
POLR2A,protein,3,,,0.01713254789036574,0.00616111502490584,0.0011267508846061428,2,4
IL13,cytokine,18,,,0.16033337430278768,0.007123670052012604,0.013273612728736624,4,0
G3BP1,protein,1,,,0.0,0.00668595216984013,0.0007618570278700391,1,0
IL2RA,receptor,1,,,0.0,0.006226964092546066,0.0010584711843829764,1,0
IL5,cytokine,11,,,0.06696515840546886,0.007083419789214599,0.003957868094886843,4,0
PRMT1,protein,3,,,0.0004696855301740031,0.006647465319642363,0.0015078187866056272,3,0
GNAI2,protein,1,,,0.0,0.007082329840684649,0.0005022451035593781,1,0
IL6ST,protein,2,,,0.014170163702234003,0.006980141018077603,0.0004738307698638417,2,4
XRCC6,protein,1,,,0.0,0.006473955615416361,0.0008642982175441208,1,0
H2AFY,protein,1,,,0.0,0.006150060111331336,0.0025172625271827932,1,5
MMP9,protein,3,,,0.0,0.005823155110564551,0.003063993786309076,3,1
SIRT1,protein,1,,,0.0,0.006922848068595317,0.0005599794354652738,1,0
HMGA1,protein,3,,,0.0,0.006415430778208837,0.002226713450040883,3,0
STAT6,protein,10,,,0.03928195178480501,0.006858594795479096,0.0037761732539778165,5,1
HNRNPA1,protein,3,,,0.017611744186727077,0.007058899483215959,0.0011645204279295686,3,0
IDO1,protein,2,,,0.0,0.006499422034866982,0.0010332467301802902,2,0
IFI16,protein,1,,,0.0,0.00586758967605948,0.0004679708446465766,1,12
IFNA2,cytokine,7,,,0.02917522635623526,0.00692463353491287,0.003157036554169724,5,0
IFNGR1,cytokine,9,,,0.010932991531028507,0.006927909282940395,0.004877743571653318,5,0
IFNL1,cytokine,8,,,0.0,0.006578783622175563,0.0035217080101825073,5,0
MIR208B,protein,2,,,0.0028576194405913647,0.006422080350663279,0.0005990326754101501,2,0
MIR499A,protein,2,,,0.0028576194405913647,0.006422080350663279,0.0005990326754101501,2,0
IFNL2,cytokine,3,,,2.633750636489737e-05,0.006259871944518566,0.003467915516786998,2,0
IFNL3,cytokine,11,,,0.01711937913718329,0.006593998262672193,0.0065460334042429045,5,0
IL10RA,protein,2,,,0.0,0.006818533588259249,0.0009844952184495165,2,1
IL10,cytokine,14,,,0.0466887901720132,0.006908745558323707,0.004554254182527298,5,0
SPIB,protein,1,,,0.0,0.006765556866835203,0.000578616283950575,1,0
IL11RA,protein,1,,,0.0,0.006700691494133604,0.0004581624181435556,1,7
IL11,cytokine,7,,,0.029211806226186496,0.006987558808745061,0.008645810287680125,2,7
STAT4,protein,2,,,0.0,0.00674742092382044,0.0012215921261934466,2,0
PUF60,protein,1,,,0.0,0.00668595216984013,0.0007618570278700391,1,0
IL2RG,receptor,4,,,0.016074658051375694,0.006972588060777918,0.0011956464743798371,3,0
IL13RA1,protein,1,,,0.0,0.007021517436961732,0.0005143161016473648,1,0
IL17RB,protein,1,,,0.0,0.00032873109796186715,0.0022776601177663964,1,11
IL17RA,protein,1,,,0.0,0.00032873109796186715,0.0022776601177663964,1,11
IL25,cytokine,2,,,1.7558337576598247e-05,0.0004930966469428007,0.004316482218999217,1,11
IL18,cytokine,7,,,0.023317472301722472,0.0065915699812276445,0.006413052330513522,2,2
IL18R1,protein,2,,,0.0,0.006177772114977586,0.0033983482809169423,2,2
IL20RB,protein,3,,,0.015275753691640475,0.0067978173076298845,0.002390965469152586,2,5
RUNX1T1,protein,1,,,0.0,0.0067366986390755244,0.0011315387868139758,1,5
IL1RAP,receptor,1,,,0.0,0.006875572964413702,0.001066698779369876,1,2
IL26,cytokine,1,,,0.0,0.0029585798816568047,0.002957267484844004,1,14
IL21,cytokine,6,,,0.0019603883904271945,0.006882181973991798,0.0031565683430297775,3,0
IL22,cytokine,3,,,0.011328054126501971,0.006769963840062744,0.0028089109009556985,1,1
IL24,cytokine,4,,,0.02209131506095669,0.006837054348366566,0.006099532309502623,2,5
PELP1,protein,1,,,0.0,0.006150060111331336,0.0025172625271827932,1,5
IL3,cytokine,6,,,0.006054700074330296,0.006737543896119323,0.004957488529603973,3,0
POU2F1,protein,4,,,0.01856121129118161,0.006983318141891021,0.0013891455321533954,3,0
ITGAV,protein,1,,,0.0,0.0065810680620223055,0.0011424129027446171,1,2
IL32,cytokine,3,,,0.011483152775095254,0.006670725048394915,0.0028777460297318364,1,2
PXN,protein,1,,,0.0,0.0065810680620223055,0.0011424129027446171,1,2
IL5RA,receptor,1,,,0.0,0.006884240702387257,0.0007239178332218653,1,0
POU2F2,protein,1,,,0.0,0.006932977903090593,0.0006538359055980491,1,0
TET2,protein,1,,,0.0,0.005626680447641956,0.0006938975038363372,1,4
IL7,cytokine,4,,,0.007634950456224137,0.006883505300867967,0.0017145710109107187,3,0
IL9,cytokine,2,,,0.005750355556335926,0.006522447701528961,0.004112168167929049,1,9
XRCC5,protein,1,,,0.0,0.006473955615416361,0.0008642982175441208,1,0
IRF9,protein,3,,,0.0,0.007002746182538765,0.002034666146216839,3,1
JAK1,protein,3,,,0.0,0.006571001572695913,0.001749766338807329,3,1
NFKBIZ,protein,1,,,0.0,0.006886006307303555,0.0005367017188986643,1,0
LITAF,protein,1,,,0.0,0.006874252685408821,0.0005793776542550528,1,0
LRRFIP1,protein,1,,,0.0,0.0067324755331082,0.0006375723106243893,1,0
MAPKAP1,protein,1,,,0.0,0.006675977478966992,0.0006690339501800671,1,1
